endpoint,condition,model,point_auroc,boot_mean,boot_sd,ci95_low,ci95_high,n_boot_valid
fluorescence480plus,only_dyesSimMurcko,xgboost,0.5389070915520559,0.5387448798457317,0.06025975214725001,0.4205281424153325,0.6575948669983982,1000
fluorescence480plus,only_pred_all,xgboost,0.5464663346148595,0.5452796871289856,0.04384857299138411,0.4604202454470319,0.6298484639821558,1000
fluorescence480plus,full,catboost,0.5947261453365218,0.5945982321495779,0.05148872633636946,0.49719856263958123,0.6922126258086433,1000
fluorescence480plus,drop_pred_fluo340,catboost,0.6322900565016536,0.6330895284687297,0.05364819460938497,0.5243111739970593,0.7367998761372058,1000
fluorescence480plus,drop_pred_trans340,catboost,0.5903861313322147,0.5906052648800773,0.05985734574526674,0.47232719623067865,0.7130253030346259,1000
fluorescence480plus,drop_RDkitFP-RDKit,catboost,0.6194516741312265,0.6211372901291734,0.05224074838795741,0.5178005901298962,0.7241050783002069,1000
fluorescence480plus,drop_RDKit2D,catboost,0.5747953301361236,0.5738225424343221,0.05836312403598514,0.4501213058195925,0.6884783731573417,1000
fluorescence480plus,drop_xtb3,catboost,0.6645660206189199,0.664481193777532,0.05414502782429993,0.5603096016410074,0.7764297708277452,1000
fluorescence480plus,drop_QM9,catboost,0.5508878202164061,0.5534091646129906,0.05876257604906608,0.43605223229047124,0.6694384535009937,1000
fluorescence480plus,drop_dyesChromophores,catboost,0.5487750635258265,0.5494256223343329,0.056909647768926236,0.4354977101336207,0.6614259628997874,1000
fluorescence480plus,drop_dyesSimMurcko,catboost,0.618690905567813,0.6189531646152179,0.05845039040695453,0.5083206954261945,0.7329415895968371,1000
fluorescence480plus,drop_pred_all,catboost,0.6392327577475084,0.6388634124614752,0.0545328509692429,0.5235918253050617,0.7410812259283482,1000
fluorescence480plus,only_pred_fluo340,catboost,0.5017230141848656,0.50289213615243,0.04918373226678614,0.4012072570560683,0.6020673908897386,1000
fluorescence480plus,only_pred_trans340,catboost,0.5598298784972233,0.5605676712213813,0.04988983150585596,0.4609820799009521,0.6552214544157714,1000
fluorescence480plus,only_RDkitFP-RDKit,catboost,0.5482047623451489,0.5475944081236821,0.06332380863486085,0.41710681385525794,0.6764765165229173,1000
fluorescence480plus,only_RDKit2D,catboost,0.626032157059624,0.6295383715640018,0.04758504389602567,0.5418929095647007,0.7241385961079113,1000
fluorescence480plus,only_xtb3,catboost,0.4583658118754762,0.4557386849699111,0.048587316705493315,0.3585346042120552,0.5524123640825177,1000
fluorescence480plus,only_QM9,catboost,0.52636376847974,0.5258734125681818,0.03964582251295986,0.4416951564290583,0.6019275007088802,1000
fluorescence480plus,only_dyesChromophores,catboost,0.48736749855773254,0.48710390986529195,0.06242276815535425,0.3587581770918242,0.6067831789515816,1000
fluorescence480plus,only_dyesSimMurcko,catboost,0.5411156324177687,0.5411334230896339,0.05903764499703475,0.4287372631006678,0.655485815145262,1000
fluorescence480plus,only_pred_all,catboost,0.5713515037014528,0.5707693233824049,0.042750270491543195,0.4858969084277203,0.6511575358431261,1000
transmittance340,full,xgboost,0.857554099917365,0.8575029604082813,0.007433783198763927,0.8428901801912918,0.871631308311228,1000
transmittance340,drop_pred_fluo340,xgboost,0.8552323578810654,0.85516541883682,0.007642095361658957,0.8399488312552785,0.8690310204201701,1000
transmittance340,drop_pred_trans340,xgboost,0.8484035567061619,0.8483486485757947,0.007665513472594794,0.8330662193170737,0.8627854694362246,1000
transmittance340,drop_RDkitFP-RDKit,xgboost,0.8512514457191703,0.8511154739715421,0.007699430285508252,0.8361101921627202,0.8655821114062708,1000
transmittance340,drop_RDKit2D,xgboost,0.8596631810087803,0.8595819239830378,0.007421288801973857,0.8445985486803326,0.873762013020918,1000
transmittance340,drop_xtb3,xgboost,0.8516361314451029,0.8516464786064722,0.007700068849749854,0.8364635893724183,0.8663223823146111,1000
transmittance340,drop_QM9,xgboost,0.854306811233317,0.8542851348025408,0.007550769778158626,0.839412132518417,0.8683154220954742,1000
transmittance340,drop_dyesChromophores,xgboost,0.8549156624316838,0.8548361191124282,0.007525319711025531,0.8401976790420013,0.8685143591320807,1000
transmittance340,drop_dyesSimMurcko,xgboost,0.8554557333430242,0.8553268357131125,0.007452847752381306,0.8407847084956814,0.8693797844719593,1000
transmittance340,drop_pred_all,xgboost,0.8447490669976285,0.8446386569171932,0.007791350537892035,0.8294727658475967,0.8596018653192407,1000
transmittance340,only_pred_fluo340,xgboost,0.7408326690661917,0.7403961984067562,0.009259520371848035,0.7226399559121384,0.7579902497634996,1000
transmittance340,only_pred_trans340,xgboost,0.8519735152938128,0.8521674626573891,0.007847305633189436,0.836821727020551,0.8671508505130987,1000
transmittance340,only_RDkitFP-RDKit,xgboost,0.8393879571593119,0.8394251789755856,0.007945983638581431,0.8239653267077924,0.854789440963263,1000
transmittance340,only_RDKit2D,xgboost,0.8113709269034907,0.8112762278837712,0.008560192920955546,0.7954502211455292,0.8270402125158227,1000
transmittance340,only_xtb3,xgboost,0.7136283127114265,0.7136808963233245,0.00835013959981408,0.6975025769742728,0.7304006541704717,1000
transmittance340,only_QM9,xgboost,0.6554274509679998,0.6549847318865144,0.010171949418430448,0.6353163847065271,0.6739520561801745,1000
transmittance340,only_dyesChromophores,xgboost,0.6548649635094161,0.6543491723167629,0.009878745981810795,0.6354533611453854,0.6735862184267953,1000
transmittance340,only_dyesSimMurcko,xgboost,0.6496640776706698,0.6496282481468142,0.010123147672684537,0.6297005944227232,0.6705828016807049,1000
transmittance340,only_pred_all,xgboost,0.85801892233091,0.8581409205298767,0.007455946062585836,0.8439032222335463,0.8719687380498427,1000
transmittance340,full,catboost,0.8638271287227268,0.8638025526168719,0.007336168837656734,0.8496098033603036,0.8772431304610221,1000
transmittance340,drop_pred_fluo340,catboost,0.8627029931916897,0.8627817009731422,0.007353020972032716,0.8482968167686259,0.8766705336896791,1000
transmittance340,drop_pred_trans340,catboost,0.8499573591845827,0.849727247139724,0.007610467411475699,0.834792817264107,0.8636828739803084,1000
transmittance340,drop_RDkitFP-RDKit,catboost,0.8601860691922775,0.8600759040797811,0.0076360261141036915,0.8450354698103771,0.8741513641886307,1000
transmittance340,drop_RDKit2D,catboost,0.8656188231055943,0.8655985117083158,0.007370838534235224,0.8506170783418816,0.8795017886342777,1000
transmittance340,drop_xtb3,catboost,0.8600640125738068,0.8599961065899229,0.007539852556631531,0.8454690673941953,0.8740093853510824,1000
transmittance340,drop_QM9,catboost,0.8643027150290014,0.8642246661947623,0.00731132054738281,0.849668184951951,0.8777168681504106,1000
transmittance340,drop_dyesChromophores,catboost,0.8612781599234006,0.8612384816842947,0.007512643719493989,0.8461402677124475,0.8748502310396472,1000
transmittance340,drop_dyesSimMurcko,catboost,0.8621040171242671,0.8620898459946522,0.007393177033181046,0.8468318533910648,0.875304294220031,1000
transmittance340,drop_pred_all,catboost,0.846274922855477,0.8461819566841154,0.007688759557934468,0.8308155655409897,0.8611252202444677,1000
transmittance340,only_pred_fluo340,catboost,0.755931053020763,0.7555643209064007,0.009001373551638815,0.7378101130341149,0.7729146072500601,1000
transmittance340,only_pred_trans340,catboost,0.8559124087735402,0.8561362540332491,0.007850338690612064,0.8408671894481419,0.8713510902474803,1000
transmittance340,only_RDkitFP-RDKit,catboost,0.8407161128956568,0.8405349641797304,0.008030982779757086,0.8250109321560021,0.8559975494626975,1000
transmittance340,only_RDKit2D,catboost,0.8124265784014295,0.8123300954476589,0.008255626678662817,0.7962104814243136,0.8284136653487808,1000
transmittance340,only_xtb3,catboost,0.7379519946184487,0.7377060660599314,0.008337093293370651,0.7215800045592652,0.7540590095231369,1000
transmittance340,only_QM9,catboost,0.6633951509947023,0.663058312740819,0.009743838772990414,0.6445677326505173,0.6817360074817248,1000
transmittance340,only_dyesChromophores,catboost,0.6587138945462416,0.6582504902536452,0.009805596563122318,0.6400055028630611,0.6773793102542967,1000
transmittance340,only_dyesSimMurcko,catboost,0.6506017707294797,0.6505651270947199,0.01016444221577669,0.6306508396089052,0.6712750918846625,1000
transmittance340,only_pred_all,catboost,0.859426967876594,0.859472698271588,0.007671545970324829,0.8441399460463567,0.8734986800118434,1000
transmittance450plus,full,xgboost,0.6983288709240721,0.698793048785408,0.017922070542537916,0.6637042525646805,0.7332245136283406,1000
transmittance450plus,drop_pred_fluo340,xgboost,0.7123991427244849,0.7126527130558945,0.018153315751768116,0.6765838024369715,0.7468309052608072,1000
transmittance450plus,drop_pred_trans340,xgboost,0.6793812407732878,0.679683996976051,0.019251520997472682,0.643200935852168,0.717810205822161,1000
transmittance450plus,drop_RDkitFP-RDKit,xgboost,0.6893434622230807,0.6893476680854512,0.018293072428272657,0.6518979958549433,0.7246554419031295,1000
transmittance450plus,drop_RDKit2D,xgboost,0.6963393625091655,0.6963662380741414,0.017664816696301877,0.6614564831022234,0.7304735060723111,1000
transmittance450plus,drop_xtb3,xgboost,0.6940071541113306,0.6942963426918423,0.01802821175487528,0.6601168340828633,0.728190585035316,1000
transmittance450plus,drop_QM9,xgboost,0.6935241845425816,0.693829068216018,0.018464504285570445,0.6580199040575522,0.7288701742827728,1000
transmittance450plus,drop_dyesChromophores,xgboost,0.6916107914068024,0.6918152650126712,0.018217995484360126,0.6578037779897687,0.7254160224215228,1000
transmittance450plus,drop_dyesSimMurcko,xgboost,0.6954803472161561,0.6957879414919951,0.017951499533876977,0.6621618083745905,0.7332594471786865,1000
transmittance450plus,drop_pred_all,xgboost,0.6835144816567614,0.6834318745409164,0.01962040913160341,0.6468567314513863,0.7213727572006403,1000
transmittance450plus,only_pred_fluo340,xgboost,0.5758843961140614,0.5754941312884706,0.021722224227576924,0.5311494603599648,0.6179546921471633,1000
transmittance450plus,only_pred_trans340,xgboost,0.6637705407048203,0.6643519644288443,0.018177000393803128,0.6288522359278504,0.6976824202988414,1000
transmittance450plus,only_RDkitFP-RDKit,xgboost,0.6121313981688113,0.6128273109964413,0.021511241328101293,0.5744925496468754,0.6559060483080602,1000
transmittance450plus,only_RDKit2D,xgboost,0.6390212952428312,0.6394632338525518,0.02160192436416343,0.5970513334437159,0.6813257810904075,1000
